url,arquivo,bytes,variante,status
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1e927ccb-afb6-4946-9f5e-153751a8b321/Untitled_1.19.2.jpg,049_Untitled_1.19.2.jpg,336563,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1f4a812d-1691-4015-af60-f762e7f73046/1.11.1_1.11.1-min.png,050_1.11.1_1.11.1-min.png,5964112,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/215acaa1-6391-4243-983c-e6026b935eb1/XALALA+10.PNG,051_XALALA 10.PNG,2983428,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/215acaa1-6391-4243-983c-e6026b935eb1/XALALA+10.PNG"",",052_XALALA 10.PNG__,2983428,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/21ad3293-c33a-4792-b518-53ff0a50cf7b/Sem+Nome_1.19.2.jpg,053_Sem Nome_1.19.2.jpg,240775,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/22329722-6db5-4e1c-bf2c-928349fb7d84/IMAGEM_RAFAEL.jpg,054_IMAGEM_RAFAEL.jpg,1097637,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/22329722-6db5-4e1c-bf2c-928349fb7d84/IMAGEM_RAFAEL.jpg"",",055_IMAGEM_RAFAEL.jpg__,1097637,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/228740be-de76-4717-b87f-d7d49fc89c96/Screenshot+2024-11-07+at+14.28.46.png,056_Screenshot 2024-11-07 at 14.28.46.png,24468,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/22c88102-7004-42ac-a98a-dc5a5189f44d/LEONARDO+RACHEIRO+01.PNG,057_LEONARDO RACHEIRO 01.PNG,5090043,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/22c88102-7004-42ac-a98a-dc5a5189f44d/LEONARDO+RACHEIRO+01.PNG"",",058_LEONARDO RACHEIRO 01.PNG__,5090043,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/23838674-00a1-4ba4-a77d-06bbadf42361/vr.png,059_vr.png,12529,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/25daf4d5-9d07-45ff-8eb8-f9d7086c7504/Screenshot+2024-08-21+at+13.46.58.png,060_Screenshot 2024-08-21 at 13.46.58.png,28665,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/2c7b6424-b648-4734-a22e-4bde21fa6ee4/Screenshot+2024-07-18+at+16.52.42.png,061_Screenshot 2024-07-18 at 16.52.42.png,35813,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/2da5e675-044b-4939-9bb2-9f9ab5c7c5a4/Color+Wheel+White%403x.png,062_Color Wheel White_3x.png,669847,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/2ee1fdd9-b719-4390-a5a3-264f6e6a6676/Untitled_1.16.1.T.jpg,063_Untitled_1.16.1.T.jpg,320459,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/2f98bded-f4fb-4b71-8d98-b8d1ffa38260/Screenshot+2024-11-07+at+14.28.36.png,064_Screenshot 2024-11-07 at 14.28.36.png,48534,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/301b815e-71b8-4c3d-bcec-930d3ae653d6/Untitled_1.29.2.jpg,065_Untitled_1.29.2.jpg,532844,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/3140a90d-30e9-4632-9e49-da7eb5cb5915/Untitled_1.25.1.T.jpg,066_Untitled_1.25.1.T.jpg,312393,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/31e3ddba-7fb1-4b86-8e86-f2e7f27d6004/Untitled_1.36.2.jpg,067_Untitled_1.36.2.jpg,303397,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/32d615b8-853a-4f4d-ac06-b7918bbf3a55/1.7.1_1.7.1.png,068_1.7.1_1.7.1.png,888316,format=original,ok
